Pays,Dépense étrangère dans le pays pour le tourisme ($US2021),Dépense internationale pour les voyages à l'étranger ($US2021),Hôtes locaux (hôtels),Hôtes étrangers (hôtels),Nombre moyen de nuits passées par les touristes étrangers,Nombre de voyages des habitants dans un autre endroit du pays par an,Nombre de passagers aériens,Touristes annuels,Nombre d'employés dans le tourisme pour 1000 habitants,Nombre de départs à l'étranger par an pour 1000 habitants,Nombre d'employés dans la restauration pour 1000 habitants,Nombre de voyages d'une seule journée depuis l'étranger pour 1000 habitants,PIB / habitant,Population
Albania,5166606300,1876012300,430000,736000,3,,307741.00,6128000,18.0,,,96.4,13653,"2,402,113"
Algeria,,676212350,3719000,,2,,6752002.00,,7.4,132.4,,,11627,"46,700,000"
Argentina,,8320167400,16289000,,2,1.0,19461376.00,,28.0,202.7,11.3,,22072,"47,067,441"
Australia,44839453000,36791038000,40088000,4515000,,4.6,76850600.00,,27.5,,10.6,,49421,"27,122,411"
Austria,28537967000,12283111000,11144000,22662000,3,1.5,46476600.00,31884000,23.2,1340.2,,,5577,"9,179,693"
Belgium,10432031000,19785040000,4954000,6800000,,0.8,14279187.00,9343000,,1507.4,,,51977,"11,846,626"
Brazil,10789480000,18646714000,,,,,102917544.00,,10.6,,6.1,,14685,"203,080,756"
Bulgaria,10479486000,1934306400,3517000,3959000,3,0.7,832828.00,7775000,,834.8,,684.8,23255,"6,445,481"
Cameroon,1989301600,793860540,1766000,460000,2,,83882.00,,,,,,3757,"28,758,503"
Canada,32784366000,37458770000,,,,2.5,93352000.00,,,875.1,,272.2,49169,"41,288,599"
CapeVerde,931736100,90090984,61000,758000,6,,675482.00,758000,,,,,7743,"491,233"
Chile,3617505500,2606279200,7797161,3732000,2,2.8,21197760.00,4518000,33.6,174.3,,47.6,2481,"20,086,377"
