Pays,Dépense étrangère dans le pays pour le tourisme ($US2021),Dépense internationale pour les voyages à l'étranger ($US2021),Hôtes locaux (hôtels),Hôtes étrangers (hôtels),Nombre moyen de nuits passées par les touristes étrangers,Nombre de voyages des habitants dans un autre endroit du pays par an,Nombre de passagers aériens,Touristes annuels,Nombre d'employés dans le tourisme pour 1000 habitants,Nombre de départs à l'étranger par an pour 1000 habitants,Nombre d'employés dans la restauration pour 1000 habitants,Nombre de voyages d'une seule journée depuis l'étranger pour 1000 habitants,PIB / habitant,Population,PIB,Part du tourisme dans le PIB
Albania,5166606300,1876012300,430000,736000,3,,307741.00,6128000,18.0,,,96.4,13653,2402113,32796048789,15.7537462309573
Algeria,,676212350,3719000,,2,,6752002.00,,7.4,132.4,,,11627,46700000,542980900000,0
Argentina,,8320167400,16289000,,2,1.0,19461376.00,7400000,28.0,202.7,11.3,,22072,47067441,1038872557752,0
Australia,44839453000,36791038000,40088000,4515000,,4.6,76850600.00,,27.5,,10.6,,49421,27122411,1340416674031,3.34518764714822
Austria,28537967000,12283111000,11144000,22662000,3,1.5,46476600.00,31884000,23.2,1340.2,,,5577,9179693,51195147861,55.7434995157812
Belgium,10432031000,19785040000,4954000,6800000,,0.8,14279187.00,9343000,,1507.4,,,51977,11846626,615752079602,1.69419338489979
Brazil,10789480000,18646714000,,,,,102917544.00,6350000,10.6,,6.1,,14685,203080756,2982240901860,0.361791027454244
Bulgaria,10479486000,1934306400,3517000,3959000,3,0.7,832828.00,7775000,,834.8,,684.8,23255,6445481,149889660655,6.99146689251673
Cameroon,1989301600,793860540,1766000,460000,2,,83882.00,1000000,,,,,3757,28758503,108045695771,1.84116691165215
Canada,32784366000,37458770000,,,,2.5,93352000.00,32430000,,875.1,,272.2,49169,41288599,2030119124231,1.61489863371533
CapeVerde,931736100,90090984,61000,758000,6,,675482.00,758000,,,,,7743,491233,3803617119,24.496053909994
Chile,3617505500,2606279200,7797161,3732000,2,2.8,21197760.00,4518000,33.6,174.3,,47.6,2481,20086377,49834301337,7.25906735510737
China,63799767000,269871270000,,,,,659629060.00,162540000,,108.6,,,15978,1409670000,22523707260000,0.283256065547
Colombia,12930551000,5230576600,,,,,37031844.00,,89.7,,,7.3,14616,52695952,770204034432,1.67884747702417
Croatia,21827730000,1869652900,1187000,6726000,3,0.9,2108591.00,17353000,23.0,565.7,10.3,,29412,3859686,113521084632,19.22790825225
Cyprus,4743019000,1732926700,553000,2689000,5,,395436.00,3977000,,,,108.8,41742,9181,383233302,1237.63226610197
Czechia,13081966000,6241715000,7768000,9972000,3,2.6,5446163.00,14651000,22.7,696.0,6.6,2136.5,4099,10879069,44593303831,29.336166814592
Denmark,8136412700,10601059000,6275000,,,3.3,,33090000,34.6,1563.0,21.2,2982.1,56814,5982117,339867995238,2.39399202455127
Egypt,,3728707000,,,,,13206890.00,13030000,,,,1.4,11781,105914499,1247778712719,0
Estonia,2617564700,1637536100,1138000,1999000,2,2.6,857.00,3336000,21.4,1282.8,14.7,2084.7,36153,1374687,49699059111,5.26682948696035
Finland,3928674600,6018078000,7854000,2901000,2,5.3,14610547.00,3290000,27.9,1704.2,14.0,,48583,5628931,273470354773,1.4365998110695
France,75038770000,53532066000,84379000,37376000,2,2.8,71289280.00,90914000,22.8,462.6,13.1,1931.6,45923,68513000,3146322499000,2.38496753031038
Georgia,9892153000,696350340,1146000,2868000,,1.7,509913.00,5080400,,995.6,,696.7,14989,3694600,55378359400,17.8628495086837
Germany,51952780000,98672950000,117726000,35168000,2,1.9,109633750.00,39563000,25.7,1191.2,17.9,,53884,84708010,4564406410840,1.13821547258845
Greece,29952618000,3253874400,7369000,19694000,4,0.5,16124738.00,31348400,36.4,732.2,18.4,247.8,2972,10413982,30950354504,96.7763325493702
Hungary,13679627000,2905169200,5572000,5456000,2,1.5,39803372.00,16937000,35.6,959.3,10.2,4550.5,32646,9584627,312899733042,4.37188835765603
Iceland,2276722200,1599379800,378000,3197000,2,,4656017.00,2013000,76.0,1693.9,28.0,524.0,56615,38697,2190830655,103.920501331492
India,124555220000,24287470000,,,,1.7,167499120.00,17910000,21.8,19.2,5.3,0.1,6617,1404910000,9296289470000,1.33983801173523
